kor,hanja
교장,敎藏
감로준,甘露樽
뉴,鈕
동춘당,同春堂
별당,別堂
팔,八
팔,八
인,人
팔,八
정,井
존무사,存撫使
인,人
대좌,臺座
보개,寶蓋
관,冠
천의,天衣
삼도,三道
대좌,臺座
대좌,臺座
마애삼존불,磨崖三尊佛
대좌,臺座
보관,寶冠
보병,寶甁
가야산,伽倻山
기단,基壇
탑신,塔身
안상,眼象
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
전탑,塼塔
기단,基壇
탑신,塔身
숭정기원지재병오중추일립,崇情紀元之再丙午仲秋日立
기단,基壇
탑신,塔身
화사석,火舍石
비천상,飛天像
화사석,火舍石
화사석,火舍石
화사석,火舍石
사천왕상,四天王像
파랑,罷郞
기단부,基壇部
천녀,天女
천순원년,天順元年
인,人
광배,光背
배,舟
대좌,臺座
배,舟
대좌,臺座
광배,光背
갈항사,葛項寺
대좌,臺座
광배,光背
광배,光背
배,舟
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
안상,眼象
국사,國師
왕,王
청량사,淸凉寺
화사석,火舍石
화사석,火舍石
사천왕상,四天王像
당,幢
당간,幢竿
당,幢
당간,幢竿
당,幢
당간,幢竿
갑사,甲寺
기단,基壇
기단,基壇
탑신,塔身
주악천인상,奏樂天人像
기단,基壇
탑신,塔身
탑신,塔身
사천왕상,四天王像
보살상,菩薩像
비천상,飛天像
가릉빈가,迦陵頻伽
청자유개호,靑磁有蓋壺
청자유개호,靑磁有蓋壺
청자유개호,靑磁有蓋壺
중허,仲虛
충재,沖齋
충정,忠定
한원일기,翰苑日記
당후일기,堂后日記
승선시일기,承宣時日記
신창령추단일기,新昌令推斷日記
문한서,文翰署
한림원,翰林院
주서,承政院注書
당후,堂后
신창령,新昌令
충재집,沖齋集
미암일기,眉巖日記
석담일기,石潭日記
근사록,近思錄
고려본,高麗本
인,人
승방,僧房
광배,光背
대좌,臺座
대좌,臺座
광배,光背
배,舟
비천,飛天
팔부신상,八部神像
매화산,梅花山
최치원,崔致遠
기단,基壇
탑신,塔身
화사석,火舍石
안상,眼象
화사석,火舍石
변상도,變相圖
보상화문,寶相華紋
화문,花紋
화경,花莖
권수,卷首
역자,譯者
사경체,寫經體
조맹부체,趙孟頫體
묵서,墨書
주서,朱書
광덕사,廣德寺
보상화문,寶相華紋
화문,花紋
화경,花莖
권수,卷首
역자,譯者
사경체,寫經體
조맹부체,趙孟頫體
묵서,墨書
주서,朱書
광덕사,廣德寺
인,人
정,井
조사,祖師
법신,法身
윤다,允多
기단부,基壇部
탑신,塔身
사천왕상,四天王像
윤다,允多
가야갑사,迦耶岬寺
계,戒
완주,完州
기단,基壇
탑신,塔身
변상도,變相圖
광대원,廣大院
두건,頭巾
삼도,三道
원각사탑,圓覺寺塔
두건,頭巾
광통루,廣通樓
광한루,廣寒樓
팔,八
화사석,火舍石
안상,眼象
금보,琴譜
대좌,臺座
보관,寶冠
삼도,三道
대좌,臺座
완형,盌形
은입사,銀入絲
범자,梵字
범자,梵字
팔,八
시가,詩歌
인,人
정,井
혜구두타,惠丘頭陀
팔,八
정,井
묘련왕사,妙蓮王師
원감국사,圓鑑國師
화죽,花竹
계호대선사,戒浩大禪師
하엽주두,荷葉柱枓
통식,通式
번용,飜龍
기단,基壇
탑신,塔身
비천,飛天
사천왕상,四天王像
광배,光背
불심,佛心
대좌,臺座
반구형,半球形
관,冠
보주,寶珠
광배,光背
대좌,臺座
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
선종대본산,禪宗大本山
팔,八
정,井
도선,道詵
공양대,拱養臺
기단,基壇
탑신,塔身
신장상,神將像
기단,基壇
탑신,塔身
팔,八
팔,八
벌교,筏橋
홍예,虹霓
팔,八
양진당,養眞堂
대좌,臺座
팔,八
문루,門樓
세장,細長
방주,方柱
고준,高峻
이형석탑,異形石塔
신서,申曙
천주사,天柱寺
죽암사,竹巖寺
기단,基亶
탑신,塔身
안상,眼象
혜심,慧諶
대선사,大禪師
변상도,變相圖
묘우,妙愚
천태교관,天台敎觀
선사,禪師
광배,光背
대좌,臺座
작압전,鵲鴨殿
방위신,方位神
지국천왕,持國天王
광목천왕,廣目天王
증장천왕,增長天王
다문천왕,多聞天王
보조선사탑,普照禪師塔
철감선사탑,澈鑑禪師塔
광배,光背
자장,慈藏
기단,基壇
탑신,塔身
완형,盌形
관덕,觀德
사자소이관성덕야,射者所以觀盛德也
팔,八
안평대군,安平大君
아계,鵝溪
청음,淸陰
김상헌,金尙憲
홍예,虹霓
