id,title
622,임실 진구사지 석등
623,분청사기 상감연화문 편병
624,감지은니 묘법연화경 권1
625,"감지은니 묘법연화경 권2, 4, 5,"
626,감지은니 묘법연화경 권3
627,감지은니 묘법연화경 권7(2007)
628,감지금니 묘법연화경 권6
629,백지은니 대불정여래밀인수증요의제보살만
630,장수향교 대성전
631,곡성 태안사 광자대사탑
632,곡성 태안사 광자대사탑비
633,군산 발산리 오층석탑
634,백지묵서 묘법연화경
635,고창 선운사 금동지장보살좌상
636,고창 선운사 도솔암 금동지장보살좌상
637,남원 광한루
638,여주 고달사지 쌍사자 석등
639,금보
640,금동여래입상(1963)
641,금동보살입상(1963-1)
642,청자 상감포도동자문 매병
643,분청사기 박지철채화문 병
644,청동 은입사 향완
645,정읍 피향정
646,고창 선운사 대웅전
647,부안 내소사 대웅보전
648,부안 개암사 대웅전
649,함양 승안사지 삼층석탑
650,창녕 관룡사 용선대 석조여래좌상
651,김천 청암사 수도암 석조보살좌상
652,김천 청암사 수도암 동·서 삼층석탑
653,강진 월남사지 삼층석탑
654,구례 화엄사 대웅전
655,구례 화엄사 원통전 앞 사자탑
656,해남 대흥사 북미륵암 삼층석탑
657,순천 송광사 약사전
658,순천 송광사 영산전
659,보성 벌교 홍교
660,안동 석빙고
661,안동 하회 양진당
662,김천 청암사 수도암 석조비로자나불좌상
663,전주 풍남문
664,정읍 천곡사지 칠층석탑
665,창녕 석빙고
666,노인 금계일기
667,밀양 소태리 오층석탑
668,강진 월남사지 진각국사비
669,감지금니 묘법연화경 권3~4
670,"백지묵서 묘법연화경 권1, 3"
671,청도 운문사 원응국사비
672,청도 운문사 석조여래좌상
673,청도 운문사 석조사천왕상
674,김천 직지사 석조약사여래좌상
675,해남 대흥사 삼층석탑
676,봉은사 청동 은입사 향완
677,제주 관덕정
678,청도 석빙고
679,칠곡 송림사 오층전탑 사리장엄구
680,이순신 유물 일괄
681,의성 빙산사지 오층석탑
682,금동약사여래입상
683,부여 군수리 석조여래좌상
684,부여 군수리 금동보살입상
685,금동미륵보살반가사유상(1963)
686,하남 하사창동 철조석가여래좌상
687,금동보살입상(1963-2)
688,통도사 청동 은입사 향완(1963)
689,석조비로자나불좌상
690,정지장군 갑옷
691,금령총 금관
692,서봉총 금관
693,청자 철채퇴화삼엽문 매병
694,청자 음각모란 상감보자기문 유개매병
695,부여 외리 문양전 일괄
696,청자 양각갈대기러기문 정병
697,백자 상감모란문 매병
698,청자 상감동채모란문 매병
699,분청사기 상감어문 매병
700,분청사기 상감모란문 반합
701,청자 상감국화모란당초문 모자합
702,달성 도동서원 중정당·사당·담장
703,전 양평 보리사지 대경대사탑
704,감지은니 묘법연화경 권7(1963)
705,합천 영암사지 쌍사자 석등
706,천안 천흥사지 오층석탑
707,홍성 신경리 마애여래입상
708,부여 무량사 극락전
709,칠곡 정도사지 오층석탑
710,원주 영전사지 보제존자탑
711,충주 정토사지 홍법국사탑비
712,제천 월광사지 원랑선사탑비
713,양평 보리사지 대경대사탑비
714,창원 봉림사지 진경대사탑
715,창원 봉림사지 진경대사탑비
716,나주 서성문 안 석등
717,원주 흥법사지 진공대사탑 및 석관
718,감은사지 서 삼층석탑 사리장엄구
719,기축명아미타불비상
720,미륵보살반가사유비상
721,울주 석남사 승탑
722,울주 간월사지 석조여래좌상
723,산청 사월리 석조여래좌상
724,진주 용암사지 승탑
725,의령 보천사지 삼층석탑
726,산청 율곡사 대웅전
727,함양 덕전리 마애여래입상
728,함양 교산리 석조여래좌상
729,거창 양평리 석조여래입상
730,거창 상림리 석조보살입상
731,진주 묘엄사지 삼층석탑
732,하동 쌍계사 승탑
733,합천 백암리 석등
734,울주 청송사지 삼층석탑
735,창덕궁 돈화문
736,창경궁 홍화문
737,창경궁 명정문 및 행각
738,창경궁 옥천교
739,양주 회암사지 선각왕사비
740,양주 회암사지 무학대사탑
741,양주 회암사지 무학대사탑 앞 쌍사자 
742,천안 광덕사 고려사경
743,부산진순절도
744,동래부순절도
745,전등사 철종
746,나주향교 대성전
747,순천 선암사 동·서 삼층석탑
748,여수 흥국사 대웅전
749,남양주 봉선사 동종
750,홍성 고산사 대웅전
751,순천 선암사 승선교
752,금동여래입상(1964)
753,수원 팔달문
754,수원 화서문
755,진천 연곡리 석비
756,단양 향산리 삼층석탑
757,제천 덕주사 마애여래입상
758,천안 삼태리 마애여래입상
759,논산 쌍계사 대웅전
760,당진 영탑사 금동비로자나불삼존좌상
761,경주 양동 무첨당
762,경주 양동 향단
763,경주 독락당
764,안동 하회 충효당
765,경주 기림사 건칠보살반가상
766,청자 투각고리문 의자
767,홍무정운역훈 권3~16
768,제왕운기(1965)
769,삼국유사 권2
770,삼국유사 권3~5
771,백장암 청동 은입사 향로
772,남원 실상사 약수암 목각아미타여래설법
773,남원 선원사 철조여래좌상
774,남원 신계리 마애여래좌상
775,예천 청룡사 석조여래좌상
776,예천 청룡사 석조비로자나불좌상
777,예천 동본리 삼층석탑
778,예천 동본리 석조여래입상
779,군위 인각사 보각국사탑 및 비
780,경산 불굴사 삼층석탑
781,포항 보경사 승탑
782,경산 팔공산 관봉 석조여래좌상
783,괴산 각연사 석조비로자나불좌상
784,부산 범어사 대웅전
785,안성 봉업사지 오층석탑
786,창원 불곡사 석조비로자나불좌상
787,김회련 개국원종공신녹권
788,김회련 고신왕지
789,양양 진전사지 도의선사탑
790,통영 충렬사 팔사품 일괄
791,울산 태화사지 십이지상 사리탑
792,경주 양동 관가정
793,속초 향성사지 삼층석탑
794,양양 선림원지 삼층석탑
795,양양 선림원지 석등
796,양양 선림원지 홍각선사탑비
797,양양 선림원지 승탑
798,안동 봉정사 화엄강당
799,안동 봉정사 고금당
800,안동 의성김씨 종택
801,안동 태사묘 삼공신 유물 일괄
802,청자 구룡형 주전자
803,도기 녹유 탁잔
804,경주 노서동 금팔찌
805,경주 노서동 금귀걸이
806,경주 노서동 금목걸이
807,예천권씨 초간종택 별당
808,제천 장락동 칠층모전석탑
809,유성룡 종가 유물
810,나주 철천리 마애칠불상
811,나주 철천리 석조여래입상
812,원주 흥법사지 진공대사탑비
813,원주 흥법사지 삼층석탑
814,영천 신월리 삼층석탑
815,밀양 만어사 삼층석탑
816,밀양 표충사 삼층석탑
817,밀양 숭진리 삼층석탑
818,구미 낙산리 삼층석탑
819,구미 도리사 석탑
820,양산 통도사 봉발탑
821,의령 보천사지 승탑
822,산청 법계사 삼층석탑
823,함양 벽송사 삼층석탑
824,안동 소호헌
825,이이 남매 화회문기
826,갑사 동종
827,합천 영암사지 삼층석탑
828,해남 윤씨 가전 고화첩 일괄
829,윤선도 종가 문적
830,윤단학 노비허여문기 및 입안
831,김용 호종일기
832,대성지성문선왕전좌도
833,영천 은해사 백흥암 수미단
834,정탁 초상
835,안성 칠장사 혜소국사비
836,합천 영암사지 귀부
837,구미 금오산 마애여래입상
838,양산 용화사 석조여래좌상
839,구미 해평리 석조여래좌상
840,밀양 무봉사 석조여래좌상
841,정탁 문적 - 약포유고 및 고문서
842,고성 옥천사 청동북
843,화천 계성리 석등
844,양양 오색리 삼층석탑
845,울진 구산리 삼층석탑
846,양양 낙산사 칠층석탑
847,하동 쌍계사 대웅전
848,장계 홍패 및 장말손 백패·홍패
849,장말손 초상
850,해남 명량대첩비
851,영광 신천리 삼층석탑
852,담양 객사리 석당간
853,담양 남산리 오층석탑
854,강진 무위사 선각대사탑비
855,예산 삽교읍 석조보살입상
856,구례 논곡리 삼층석탑
857,칠곡 기성리 삼층석탑
858,청주 계산리 오층석탑
859,충주 단호사 철조여래좌상
